Rank,Brand,Brand_Category,Price_Tier,Official_Website_URL,Location_Finder_URL,Monthly_Fee_Low_CAD,Monthly_Fee_High_CAD,Billing_Unit,Annual_Fee_CAD,Join_Fee_CAD,Personal_Training_Available,Personal_Training_Fee_CAD,Personal_Training_Fee_Unit,Group_Classes_Available,Classes_Included_In_Membership,Open_24_7_Service,Sauna_Available,Steam_Room_Available,Massage_Chairs_Available,Hydromassage_Available,Tanning_Available,Pool_Available,Women_Only_Area_Available,Childcare_Available,Parking_Available,Other_Amenities,Manual_Source_URL,Manual_Check_Date,Verification_Status,Notes
1,GoodLife Fitness,Full-service chain,Mid / Premium,https://www.goodlifefitness.com/,https://www.goodlifefitness.com/clubs.html,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
2,Fit4Less,Budget chain,Budget,https://www.fit4less.ca/,https://www.fit4less.ca/locations,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
3,Planet Fitness,Budget chain,Budget,https://www.planetfitness.ca/,https://www.planetfitness.ca/clubs/on,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
4,Anytime Fitness,Convenience / 24-7 chain,Mid,https://www.anytimefitness.ca/,https://www.anytimefitness.com/locations,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
5,Crunch Fitness,Value / full-service chain,Budget / Mid,https://www.crunchfitness.ca/,https://www.crunchfitness.ca/locations,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
6,Orangetheory Fitness,Boutique / coached fitness,Premium,https://www.orangetheory.com/en-ca/,https://www.orangetheory.com/en-us/locations,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
7,F45 Training,Boutique / functional training,Premium / Specialty,https://f45training.com/,https://f45training.com/find-a-studio/,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
8,Movati Athletic,Premium full-service chain,Premium,https://movatiathletic.com/,https://movatiathletic.com/locations/,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
9,LA Fitness,Full-service chain,Mid / Premium,https://www.lafitness.com/Pages/default.aspx,https://www.lafitness.com/pages/findclub.aspx,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
10,World Gym,Full-service / bodybuilding heritage chain,Budget / Mid,https://www.worldgym.com/,https://www.worldgym.com/locations,,,,,,,,,,,,,,,,,,,,,,,,Blank - manual brand-level entry required,"Use Yes / No / Unknown. If a feature varies by club, write Varies and explain in Notes."
