Province,Municipality,Market_Zone,Draft_Zone_Label,Zone_Type,Zone_Basis,Review_Status,Number_of_DAs,Population,Land_Area_km2,Population_Density,Municipality_Pop_Growth_Pct,Median_Household_Income,Average_Household_Income,Age_20_34,Age_20_34_Pct,Age_18_34_Estimated,Age_18_34_Pct,Student_Age_Proxy_20_24,Student_Age_Proxy_20_24_Pct,Occupied_Dwellings,Apartment_Dwellings,Apartment_Pct,Renter_Households,Renter_Pct,Labour_Force,Employed,Unemployed,Employment_Rate,Unemployment_Rate,Demand_Fit_Score_Preliminary
Ontario,Barrie,Northwest Barrie,Northwest,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,70,37963,18.28,2076.8,0.045,86010,98175,8030,0.21152174485683428,8818,0.23227879777678265,2345,0.061770671443247376,14875,4915,0.3304201680672269,5410,0.3641871423763043,19875,17110,2765,54.92776886035313,13.91194968553459,59.6
Ontario,Barrie,Southwest Barrie,Southwest,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,61,37555,41.37,907.8,0.045,106091,118557,7865,0.2094261749434163,8945,0.23818399680468647,2410,0.06417254693116763,13205,2340,0.1772056039379023,3255,0.24705882352941178,21305,18775,2540,62.13801092172761,11.92208401783619,45.1
Ontario,Barrie,East Barrie,East,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,47,36951,25.64,1441.1,0.045,113311,125776,6720,0.18186246650970203,7806,0.2112527401152878,2325,0.06292116586831209,12515,1175,0.09388733519776268,2535,0.2026378896882494,20085,17705,2370,59.81418918918919,11.799850634802091,41.5
Ontario,Barrie,Northeast Barrie,Northeast,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,65,35360,13.73,2575.4,0.045,79329,94266,9125,0.25805995475113125,9817,0.27763009049773757,3005,0.08498303167420815,14805,5905,0.3988517392772712,6645,0.4500507958008805,18865,16515,2395,55.56864064602961,12.695467797508615,69.9
Ontario,Greater Sudbury / Grand Sudbury,East Greater Sudbury / Grand Sudbury,East,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,78,45918,479.62,95.7,0.027999999999999997,89833,104475,8425,0.18347924561174267,9409,0.20490875038111417,2850,0.0620671632039723,19125,4310,0.225359477124183,5985,0.31196247068021893,22855,20305,2555,53.53282362246243,11.179173047473201,43.3
Ontario,Greater Sudbury / Grand Sudbury,South Greater Sudbury / Grand Sudbury,South,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,98,60321,222.52,271.1,0.027999999999999997,76731,92725,13475,0.2233882064289385,14633,0.24258550090349962,4695,0.07783359029193813,28485,14240,0.49991223450939093,15155,0.5325953259532595,30445,26910,3505,53.62160007970509,11.512563639349647,61.4
Ontario,Greater Sudbury / Grand Sudbury,North Greater Sudbury / Grand Sudbury,North,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,46,28800,1239.73,23.2,0.027999999999999997,106092,117849,4795,0.16649305555555555,5503,0.1910763888888889,1500,0.052083333333333336,11190,1075,0.09606791778373548,1725,0.1542933810375671,15285,13780,1530,57.69311283232154,10.009813542688912,32.6
Ontario,Greater Sudbury / Grand Sudbury,West Greater Sudbury / Grand Sudbury,West,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,30,19950,548.53,36.4,0.027999999999999997,93289,106627,3340,0.1674185463659148,3738,0.18736842105263157,980,0.04912280701754386,8365,1440,0.17214584578601316,2085,0.24880668257756564,9785,9110,680,55.02869223799456,6.949412365866121,38.6
Ontario,Greater Sudbury / Grand Sudbury,Southwest Greater Sudbury / Grand Sudbury,Southwest,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,15,11015,695.87,15.8,0.027999999999999997,112859,127852,1560,0.141625056740808,1816,0.1648660916931457,495,0.044938719927371765,4355,255,0.05855338691159587,430,0.0996523754345307,5610,5205,415,58.352017937219735,7.397504456327986,27.7
Ontario,Guelph,North Guelph,North,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,70,51276,25.52,2009.2,0.091,89863,104641,10805,0.2107223652390982,11833,0.23077073094625167,2770,0.05402137452219362,21280,7340,0.3449248120300752,6870,0.3232180663373324,28460,25690,2740,61.532934131736525,9.627547434996487,58.8
Ontario,Guelph,West Guelph,West,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,65,40652,21.73,1870.8,0.091,88726,100094,8845,0.21757847092393978,9729,0.23932401849847487,2525,0.06211256518744465,15800,6130,0.3879746835443038,6500,0.41191381495564006,22195,19630,2595,58.922407324028214,11.691822482541113,62
Ontario,Guelph,South Guelph,South,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,40,22586,14.4,1568.5,0.091,97081,115684,6030,0.2669795448507925,6630,0.2935446736916674,2495,0.1104666607633047,8975,2530,0.2818941504178273,3620,0.4004424778761062,12730,11150,1580,57.937126526370484,12.411626080125687,59.2
Ontario,Guelph,Southeast Guelph,Southeast,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,25,29226,25.75,1135,0.091,117460,137571,6905,0.23626223225894752,7763,0.26561965373297747,2740,0.09375213850680901,10425,1800,0.17266187050359713,2305,0.22184793070259864,16565,14820,1770,61.60881313656205,10.68517959553275,45
Ontario,Hamilton,North Hamilton,North,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,52,37983,251.89,150.8,0.06,129468,150530,6705,0.17652634073137982,7623,0.20069504778453517,2330,0.06134323249874944,13275,960,0.07231638418079096,1735,0.1299625468164794,21620,19635,2005,64.08289817232375,9.27382053654024,30
Ontario,Hamilton,Central Hamilton,Central,Value-Oriented Rental Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,304,165022,60.16,2743.1,0.06,67965,79771,42610,0.2582079965095563,45466,0.2755147798475355,10765,0.06523372641223595,75405,37270,0.49426430608049865,39515,0.524002121734518,85345,73585,11830,53.0992928272478,13.861386138613863,74.3
Ontario,Hamilton,West Hamilton,West,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,149,97733,139.22,702,0.06,110894,133151,18755,0.19190038165205203,21183,0.21674357688805215,7305,0.07474445683648308,36925,7670,0.2077183480027082,9175,0.24847664184157076,50235,44605,5690,54.98982925476176,11.326764208221359,41.7
Ontario,Hamilton,South Hamilton,South,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,174,111366,50.13,2221.5,0.06,92425,103515,21750,0.19530197726415602,24558,0.2205161359840526,7330,0.06581901118833396,39910,5400,0.1353044349787021,11145,0.27879924953095686,54150,46880,7230,51.098152487873996,13.351800554016622,50.9
Ontario,Hamilton,South 2 Hamilton,South 2,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,15,19742,180.16,109.6,0.06,119270,131010,3000,0.15196028771147807,3492,0.17688177489616047,790,0.04001620909735589,6435,140,0.021756021756021756,540,0.08411214953271028,10410,9490,920,63.43582887700535,8.837656099903938,27.4
Ontario,Hamilton,Southeast Hamilton,Southeast,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,71,57027,67.93,839.5,0.06,103356,115206,11470,0.2011327967454013,12912,0.22641906465358513,3590,0.06295263647044383,19290,2085,0.10808709175738725,4185,0.2172333246820659,29480,26010,3580,57.158554005054384,12.143826322930801,41.2
Ontario,Hamilton,East Hamilton,East,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,111,72137,84.86,850.1,0.06,85635,99835,12785,0.17723221093197666,14349,0.19891317908978748,3855,0.05343998225598514,28600,8900,0.3111888111888112,9605,0.33613298337707787,35140,30720,4430,50.75169337518586,12.606715993170175,49.7
Ontario,Hamilton,West 2 Hamilton,West 2,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,15,8343,283.99,29.4,0.06,115581,140423,1285,0.15402133525110873,1499,0.17967158096607935,475,0.056933956610332015,2870,200,0.06968641114982578,270,0.09557522123893805,4480,4195,255,62.65870052277819,5.691964285714286,29
Ontario,Kingston,Northeast Kingston,Northeast,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,26,21915,69.54,315.1,0.07,93469,107056,3990,0.18206707734428473,4496,0.2051562856490988,1115,0.05087839379420488,8995,2585,0.2873818788215675,3340,0.36906077348066296,10690,9330,1310,51.53272576636289,12.25444340505145,46.7
Ontario,Kingston,South Kingston,South,Student / Young Adult Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,98,53926,35.19,1532.4,0.07,65002,81965,16280,0.30189518970440976,17392,0.32251604049994437,6005,0.11135630308200126,26735,15695,0.5870581634561436,16945,0.6350009368559115,27665,23230,4440,50.4013885875461,16.049159587926983,73.5
Ontario,Kingston,West Kingston,West,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,63,50806,143.85,353.2,0.07,100898,114665,8535,0.1679919694524269,9671,0.19035153328347046,2640,0.051962366649608314,20060,3225,0.16076769690927217,5030,0.25043564849390093,25900,23200,2695,55.46921697549313,10.405405405405405,39.1
Ontario,Kingston,Northeast 2 Kingston,Northeast 2,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,9,5838,202.98,28.8,0.07,116156,131256,950,0.16272696128811237,1068,0.1829393627954779,260,0.044535799931483384,2020,5,0.0024752475247524753,170,0.08478802992518704,2710,2380,310,54.58715596330275,11.439114391143912,25.8
Ontario,Kitchener,North Kitchener,North,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,53,30424,20.88,1457.1,0.10099999999999999,90282,107754,6240,0.20510123586642123,6878,0.22607152248225085,1710,0.05620562713647121,12705,4025,0.3168044077134986,4425,0.34911242603550297,16905,15110,1820,59.25490196078431,10.766045548654244,55.5
Ontario,Kitchener,Northwest Kitchener,Northwest,Dense Urban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,85,57032,15.72,3628,0.10099999999999999,69318,83663,16300,0.2858044606536681,17216,0.3018656193014448,3700,0.06487585916678355,26945,16245,0.6028947856745221,16625,0.6175705794947994,31560,27800,3765,57.712269047124764,11.929657794676807,84.8
Ontario,Kitchener,West Kitchener,West,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,86,67749,23.69,2859.8,0.10099999999999999,100726,110132,14385,0.2123278572377452,16115,0.2378632894950479,4245,0.0626577514059248,23595,3565,0.15109133290951474,6420,0.2718611052297269,36775,32620,4075,60.19560804576491,11.080897348742353,55.5
Ontario,Kitchener,South Kitchener,South,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,34,48001,46.97,1022,0.10099999999999999,111861,127335,11025,0.22968271494343867,12275,0.25572383908668567,3245,0.06760275827586926,15970,2315,0.14495929868503443,4015,0.2528337531486146,26660,24060,2605,63.853503184713375,9.77119279819955,45.5
Ontario,Kitchener,East Kitchener,East,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,63,53679,29.62,1812.3,0.10099999999999999,91269,105316,11775,0.21935952607164813,12929,0.24085769108962538,3500,0.06520240690027758,20665,7705,0.37285264940721025,8630,0.41670690487687106,27850,24720,3090,56.53516295025729,11.095152603231599,60.8
Ontario,London,North London,North,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,68,72942,52.75,1382.8,0.1,96264,115405,15075,0.20667105371390967,17031,0.23348687998683887,5575,0.07643058868690192,26995,6990,0.2589368401555844,9430,0.34925925925925927,36235,31950,4250,54.90162385084629,11.72899130674762,52.5
