Rank,Brand,Project_Location_Count,Website_URL,Location_Finder_URL,Membership_URL,Brand_Category,Price_Tier,Typical_Format,Official_Source_Status,Verification_Level,Source_Checked_Date,Analysis_Use,Notes
1,GoodLife Fitness,23,https://www.goodlifefitness.com/,https://www.goodlifefitness.com/clubs.html,https://www.goodlifefitness.com/membership.html,Full-service chain,Mid / Premium,Large-format fitness club,Official website and club locator identified,"Medium - Dataset C includes official/source-reviewed major-chain records, but location-level details should still be spot checked.",2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,"Useful benchmark for full-service competition, amenities depth, and large-club presence."
2,Fit4Less,18,https://www.fit4less.ca/,https://www.fit4less.ca/locations,https://www.fit4less.ca/join,Budget chain,Budget,Low-cost / value gym,Official website and location finder identified,High - Brand records were priority-audited against official Fit4Less location pages.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Key direct competitor for budget expansion analysis; strong priority for manager review.
3,Planet Fitness,11,https://www.planetfitness.ca/,https://www.planetfitness.ca/clubs/on,https://www.planetfitness.ca/memberships,Budget chain,Budget,Low-cost / value gym,Official Canadian site and Ontario club page identified,Mixed - Official rows verified where available; remaining records may need location-level confirmation.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Major value-club competitor; location counts are important for budget saturation analysis.
4,Anytime Fitness,10,https://www.anytimefitness.ca/,https://www.anytimefitness.com/locations,https://www.anytimefitness.ca/,Convenience / 24-7 chain,Mid,Smaller-format access gym,Official Canadian website and global locator identified,Medium - Brand-level official source identified; location-level entries need final spot check.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Important for 24/7-access comparison and neighbourhood convenience competition.
5,Crunch Fitness,10,https://www.crunchfitness.ca/,https://www.crunchfitness.ca/locations,https://www.crunchfitness.ca/,Value / full-service chain,Budget / Mid,Large-format value fitness club,Official Canadian website and locations page identified,Medium - Brand-level official source identified; location-level entries need final spot check.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Competes on price plus amenities; useful for gap analysis versus Fit4Less and Planet Fitness.
6,Orangetheory Fitness,9,https://www.orangetheory.com/en-ca/,https://www.orangetheory.com/en-us/locations,https://www.orangetheory.com/en-ca/memberships,Boutique / coached fitness,Premium,Studio fitness classes,Official website and location finder identified,Medium - Brand-level official source identified; location-level entries need final spot check.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Represents premium coached-class demand rather than direct budget-gym substitution.
7,F45 Training,6,https://f45training.com/,https://f45training.com/find-a-studio/,https://f45training.com/,Boutique / functional training,Premium / Specialty,Group training studio,Official website and studio finder identified,Medium - Brand-level official source identified; location-level entries need final spot check.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Useful boutique benchmark for high-income/student zones and group-training intensity.
8,Movati Athletic,5,https://movatiathletic.com/,https://movatiathletic.com/locations/,https://movatiathletic.com/memberships/,Premium full-service chain,Premium,Large-format athletic club,Official website and locations page identified,"Medium-High - Official source identified and brand has a smaller, easier-to-audit footprint.",2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Good premium-club comparison for high-income suburban markets.
9,LA Fitness,3,https://www.lafitness.com/Pages/default.aspx,https://www.lafitness.com/pages/findclub.aspx,https://www.lafitness.com/Pages/Membership.aspx,Full-service chain,Mid / Premium,Large-format fitness club,Official website and club finder identified,Medium - Brand-level official source identified; location-level entries need final spot check.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Relevant in larger/suburban markets where full-service amenities affect competition.
10,World Gym,3,https://www.worldgym.com/,https://www.worldgym.com/locations,https://worldgym-canada.com/,Full-service / bodybuilding heritage chain,Budget / Mid,Gym / strength-focused club,Official global locator and Canada website identified,Medium - Brand-level official source identified; location-level entries need final spot check.,2026-07-28,Use this table as the brand website/source layer for Dataset C competitor records and dashboard source links.,Smaller count in this project; still relevant in markets where strength-training positioning matters.
