Gym_ID,Gym_Name,Brand,Parent_Category,Price_Tier,Gym_Format,Direct_Budget_Competitor,Major_Chain,Municipality,Market_Zone,Market_Zone_Assignment_Method,Market_Zone_Assignment_Distance_km,Address,Latitude,Longitude,Equipment_Access,Open_24_7_Status,Open_24_7_Flag,Personal_Training,Personal_Training_Flag,Group_Classes,Group_Classes_Flag,Women_Only_Area,Pool,Sauna,Tanning,Tanning_Flag,Hydromassage,Hydromassage_Flag,Parking,Google_Rating,Google_Review_Count,Source_URL,Source_Type,Amenity_Source_Level,Record_Source_Quality,Data_Collection_Date,Verification_Status,Notes,Review_Source,Review_URL,Review_Collection_Date,Review_Data_Status,Review_Confidence,Top_Positive_Review_Theme,Top_Negative_Review_Theme,Common_Complaint,Common_Strength,Customer_Satisfaction_Gap_Flag,Major_Chain_Verification_Level,Major_Chain_Verification_Method,Official_Locator_URL,Row_Level_Official_Verification_Status,Fresh_SerpApi_Checked_Date,Fresh_SerpApi_Status,Fresh_Location_Match_Status,Fresh_Match_Score,Fresh_SerpApi_Result_Title,Fresh_SerpApi_Result_Address,Fresh_SerpApi_Rating,Fresh_SerpApi_Review_Count,Fresh_Crossmatch_Action
GYM_FULL_0001,Fit4Less Windsor Devonshire,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Windsor,South Windsor,Nearest market-zone centroid within municipality,1.73,"3100 Howard Ave, Windsor, ON N8X 3Y8",42.2746643,-83.0018706,Yes,Unknown,0,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,3.8,241,https://www.fit4less.ca/locations/provinces/ontario/windsor/windsor-devonshire,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/windsor/windsor-devonshire,Official row-level source checked,2026-07-30,OK,Strong match,100,Fit4Less,"3100 Howard Ave, Windsor, ON N8X 3Y8",3.8,241,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0002,Fit4Less Windsor Central,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Windsor,Northeast 2 Windsor,Nearest market-zone centroid within municipality,1.34,"2437 Central Ave, Windsor, ON N8W 4J4",42.3018669,-82.9785225,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4,477,https://www.fit4less.ca/locations/provinces/ontario/windsor/windsor-central,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/windsor/windsor-central,Official row-level source checked,2026-07-30,OK,Strong match,100,Fit4Less,"2437 Central Ave, Windsor, ON N8W 4J4",4,477,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0003,Fit4Less London Oakridge,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,London,Southwest London,Nearest market-zone centroid within municipality,2.11,"1201 Oxford Street West, London, ON N6H 1V8",42.9752961,-81.3234204,Yes,Unknown,0,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4,172,https://www.fit4less.ca/locations/provinces/ontario/london/london-oakridge,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/london/london-oakridge,Official row-level source checked,2026-07-30,OK,Strong match,87.1,Fit4Less,"1201 Oxford St W, London, ON N6H 1V9",4,172,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0004,Fit4Less London Westmount Mall,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,London,South London,Nearest market-zone centroid within municipality,2.28,"785 Wonderland Road South, London, ON N6K 1M6",42.947904,-81.2916905,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4.2,412,https://www.fit4less.ca/locations/provinces/ontario/london/london-westmount-mall,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/london/london-westmount-mall,Official row-level source checked,2026-07-30,OK,Strong match,91.4,Fit4Less,"785 Wonderland Rd S, London, ON N6K 1M6",4.2,412,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0005,Fit4Less London Proudfoot and Oxford,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,London,West London,Nearest market-zone centroid within municipality,1.64,"710 Proudfoot Lane, London, ON N6H 1T2",42.9863122,-81.2883853,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4,729,https://www.fit4less.ca/locations/provinces/ontario/london/london-proudfoot-and-oxford,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/london/london-proudfoot-and-oxford,Official row-level source checked,2026-07-30,OK,Strong match,90,Fit4Less,"710 Proudfoot Ln, London, ON N6H 5G5",4,729,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0006,Fit4Less London Wellington Gate,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,London,Southeast London,Nearest market-zone centroid within municipality,2.67,"332-352 Wellington Road, London, ON N6C 4P6",42.9620601,-81.2312379,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4.4,60,https://www.fit4less.ca/locations/provinces/ontario/london/london-wellington-gate,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/london/london-wellington-gate,Official row-level source checked,2026-07-30,OK,Strong match,95.7,Fit4Less,"352 Wellington Rd #332, London, ON N6C 4P6",4.4,60,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0007,Fit4Less Waterloo Northfield,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Waterloo,West Waterloo,Nearest market-zone centroid within municipality,2.64,"585 Weber Street North, Waterloo, ON N2V 1V8",43.4959124,-80.5506008,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4.1,418,https://www.fit4less.ca/locations/provinces/ontario/waterloo/waterloo-northfield,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/waterloo/waterloo-northfield,Official row-level source checked,2026-07-30,OK,Strong match,91.4,Fit4Less,"585 Weber St N, Waterloo, ON N2V 1V8",4.1,418,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0008,Fit4Less Kitchener Weber St East,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Kitchener,East Kitchener,Nearest market-zone centroid within municipality,0.53,"1375 Weber St East, Kitchener, ON N2A 1C4",43.4322438,-80.4398335,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,3.4,525,https://www.fit4less.ca/locations/provinces/ontario/kitchener/kitchener-weber-st-east,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/kitchener/kitchener-weber-st-east,Official row-level source checked,2026-07-30,OK,Strong match,95,Fit4Less,"1375 Weber St E, Kitchener, ON N2A 1C4",3.4,525,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0009,Fit4Less Guelph Edinburgh,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Guelph,South Guelph,Nearest market-zone centroid within municipality,1.48,"245 Edinburgh Road South, Guelph, ON N1G 2J6",43.529205,-80.2482035,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,3.8,474,https://www.fit4less.ca/locations/provinces/ontario/guelph/guelph-edinburgh,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/guelph/guelph-edinburgh,Official row-level source checked,2026-07-30,OK,Strong match,91.4,Fit4Less,"245 Edinburgh Rd S, Guelph, ON N1G 2J6",3.8,474,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0010,Fit4Less Hamilton Centre,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Hamilton,Central Hamilton,Nearest market-zone centroid within municipality,2.85,"1211 Barton Street East, Hamilton, ON L8H 2V4",43.2505572,-79.811523,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4,686,https://www.fit4less.ca/locations/provinces/ontario/hamilton/hamilton-centre,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/hamilton/hamilton-centre,Official row-level source checked,2026-07-30,OK,Strong match,88.4,Fit4Less,"1211 Barton St E, Hamilton, ON L8H 2V4",4,686,Fresh rating/review applied from SerpApi strong/likely location match
