Rank,Brand,Pricing_Page_Type,Best_Pricing_Page_URL,Location_Specific_Example_URL,Pricing_Visible,Pricing_Example_CAD,Pricing_Confidence,Use_In_Project,Notes,Source_Checked_Date
1,GoodLife Fitness,National membership page + club-specific price pages,https://www.goodlifefitness.com/membership.html,https://www.goodlifefitness.com/clubs/club.30.html,Yes,$40.99 bi-weekly + $59.99 join fee shown on national membership page; Toronto Union Station example also shows $40.99 bi-weekly + $59.99 join fee.,High for page availability; exact offer varies by club.,Use national page for baseline pricing and club page for local verification.,"GoodLife states membership plans, prices, programs, and amenities may vary by club location.",2026-07-29
2,Fit4Less,National membership pricing page,https://www.fit4less.ca/membership,https://www.fit4less.ca/join-now,Yes,Starts at $7.99 every two weeks; Black Card shown at $13.99 every two weeks; $49.99 annual fee plus tax.,High,Strong budget-gym fee benchmark.,Best official pricing page among the major chains because plan prices are clearly published.,2026-07-29
3,Planet Fitness,National starting-price page + club offer pages,https://www.planetfitness.ca/gym-memberships,https://www.planetfitness.ca/gyms/etobicoke/offers,Yes,Classic memberships begin at $15/month; PF Black Card begins at $29.99/month; $49 annual fee noted; Etobicoke offer page shows $29.99/month Black Card.,High for starting prices; exact offer varies by location.,Strong budget-gym fee benchmark beside Fit4Less.,Planet Fitness says prices may vary by location.,2026-07-29
4,Anytime Fitness,Location-specific club pricing pages,https://www.anytimefitness.ca/faqs/,https://www.anytimefitness.ca/gyms/5206/barrie-on-l4n-7t9/,"Yes, on some club pages",Barrie example shows 12-month plan at $27.99 due bi-weekly; Brantford example shows $26.99 due bi-weekly.,Medium-High for selected club pages; brand says dues vary by location.,Use city/club pages rather than a single brand-wide price.,FAQ confirms pricing varies because gyms are independently owned.,2026-07-29
5,Crunch Fitness,Location-specific club pricing pages,https://www.crunchfitness.ca/locations/stratford-on,https://www.crunchfitness.ca/locations/windsor,"Yes, on some club pages",Stratford page shows memberships starting at $14.99/month.,Medium; pricing depends on selected club.,Use local Crunch location pages for price evidence.,"Best for local competitor comparison, not national pricing.",2026-07-29
6,Orangetheory Fitness,Studio-specific membership pages,https://www.orangetheory.com/en-ca/memberships,https://www.orangetheory.com/en-ca/locations/toronto-ontario-can139,"Yes, on selected studio pages","Toronto-University example shows membership options such as $219/month unlimited, $159/month for 8 classes, and $119/month for 4 classes.",Medium-High for selected studio pages; rates vary by studio.,Use as premium boutique/group-fitness price benchmark.,General membership page says casual-visit recommended retail price is $30 and pricing varies by studio.,2026-07-29
7,F45 Training,Studio-specific trial/offer pages,https://f45training.com/ca/studio/torontodowntown/,https://f45training.com/ca/studio/newtoronto/,"Partial; trial pricing visible, full memberships often require studio selection/inquiry",Toronto Downtown shows 10-day trial for $39.99; New Toronto shows 10 days for $10; other Ontario studios show different trial offers.,Medium for trial pricing; low/medium for full membership pricing.,"Use for boutique competitor offer evidence, not full monthly price unless local page publishes it.",F45 pricing is studio/franchise specific.,2026-07-29
8,Movati Athletic,Membership/promotion page; club selection required for offers,https://movatiathletic.com/joinnow/,https://movatiathletic.com/students/,Partial,Join page directs users to select a preferred club; student page shows $10 student discount off no-commit bi-weekly rate and $29.95 facility enhancement fee for selected clubs.,Medium for promotional/student fee info; regular dues require club flow or inquiry.,"Use as premium-club source link, with fee field marked location-specific.",Monthly dues are not cleanly visible on one public general page.,2026-07-29
9,LA Fitness,Club-specific online membership rate page,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=yxnj7Nqsc0Rq%2BVMCpBZHjg%3D%3D,https://www.lafitness.com/pages/clubhome.aspx?clubid=928,Yes,"Aurora Bayview example shows Basic at $39.99/month, $0 initiation, $79 annual fee; other plans show $39.99-$49.99/month depending on access.",High for selected club rate page; exact pricing varies by club and offer.,Use selected Ontario club rate pages for full-service competitor pricing.,Clubhome pages also show amenity lists.,2026-07-29
10,World Gym,Location/contact pages; pricing not clearly published in found official pages,https://worldgym-canada.com/canadian-locations-near-you/,https://www.worldgym.com/guelph/contact-us/,No clear public price found,No reliable public monthly fee found on official pages checked; contact club or use local signup if available.,Low for pricing; medium for official location/contact page.,Mark pricing as missing / needs manual verification.,Do not estimate World Gym fees without club confirmation.,2026-07-29
