Rank,Brand,Fee_Availability,Pricing_Level,Billing_Unit,Lowest_Published_Monthly_CAD,Highest_Published_Monthly_CAD,Lowest_Published_Biweekly_CAD,Highest_Published_Biweekly_CAD,Monthly_Equivalent_Low_CAD,Monthly_Equivalent_High_CAD,Join_Initiation_Fee_CAD,Annual_Fee_CAD,Trial_Offer_CAD,Pricing_Source_URL,Example_Location_URL,Official_Price_Evidence,Amenity_Notes,Confidence,Source_Checked_Date,Use_In_Dashboard
1,GoodLife Fitness,Published on official membership page,National / club-variable,Bi-weekly,,,40.99,40.99,88.81,88.81,59.99,,,https://www.goodlifefitness.com/membership.html,https://www.goodlifefitness.com/clubs/club.30.html,Official membership page shows $40.99 bi-weekly plus $59.99 join fee; GoodLife notes plan/prices/amenities may vary by club.,"Full-service club model: equipment, classes/training programs, digital/on-demand services; amenities vary by club.",High for official page; verify exact local club before final decision,2026-07-29,Use as mid/premium bi-weekly benchmark; mark local fee as club-variable.
2,Fit4Less,Published on official membership page,National / participating club conditions,Bi-weekly,,,7.99,13.99,17.31,30.31,,49.99,,https://www.fit4less.ca/membership,https://www.fit4less.ca/join-now,Official pages show memberships starting at $7.99 every two weeks; Black Card pricing shown at $13.99 every two weeks; $49.99 annual fee plus tax.,"Wi-Fi, express circuit, Black Card workout area, hydromassage, massage chairs, tanning, and multi-location/guest features depending on plan and club availability.",High,2026-07-29,Use as strongest budget bi-weekly benchmark.
3,Planet Fitness,Published starting prices on official membership page,National starting price / club-variable offers,Monthly,15,29.99,,,,,,49,,https://www.planetfitness.ca/gym-memberships,https://www.planetfitness.ca/gyms/etobicoke/offers,Official membership page says memberships start at $15/month; club offer pages show PF Black Card-style pricing around $29.99/month and annual fee details.,"Cardio/strength equipment, free fitness training, app workouts; Black Card-style amenities such as HydroMassage, massage chairs and tanning where available.",High for starting prices; exact local offer varies,2026-07-29,Use as budget monthly benchmark.
4,Anytime Fitness,Location-specific pricing visible on some official club pages,Club-specific / independently owned,Bi-weekly,,,36.95,36.95,80.06,80.06,,,,https://www.anytimefitness.ca/membership/,https://www.anytimefitness.ca/gyms/5414/toronto-on-m5v-0c7/,Official membership page says prices vary by location; Toronto club example shows a 12-month plan at $36.95 due bi-weekly.,Access gym model with coaching/training and amenities varying by independently owned club.,Medium-high for example club; do not generalize as Ontario-wide price,2026-07-29,Use only as a location-specific convenience-gym example.
5,Crunch Fitness,Published starting price and location-specific pages,Brand starting price / club-specific exact pricing,Monthly,14.99,34.99,,,,,,,,https://www.crunchfitness.ca/about,https://www.crunchfitness.ca/locations/guelph,Official Crunch Canada page says memberships start at $14.99/month; Guelph location page search extract showed plan dues such as $26.99 and $34.99.,"Equipment, classes, personal training, functional training; higher tiers may include HydroMassage, tanning, multi-club access and guest privileges.",Medium-high; use local club page for exact fee,2026-07-29,Use as budget/mid monthly benchmark with location-specific exact pricing.
6,Orangetheory Fitness,Published on official studio pages,Studio-specific,Monthly + class packs,119,219,,,,,,,,https://www.orangetheory.com/en-ca/memberships,https://www.orangetheory.com/en-ca/locations/toronto-ontario-can139,"Official Toronto-University studio page shows memberships around $119/month for 4 classes, $159/month for 8 classes, and $219/month unlimited; class packs also shown.",Coach-led heart-rate-based studio classes; premium boutique competitor rather than direct budget-gym substitute.,High for example studio; rates vary by studio,2026-07-29,Use as premium boutique monthly benchmark.
7,F45 Training,Trial offer visible; full monthly fees often not visible,Studio-specific,Trial offer / inquiry for full membership,,,,,,,,,39.99,https://f45training.com/ca/studio/torontodowntown/,https://f45training.com/ca/studio/regentpark/,Official Toronto Downtown and Regent Park studio pages show 10-day trial offers at $39.99; full recurring membership pricing was not cleanly visible.,Functional HIIT/group training studio with coaching; monthly pricing should be collected from specific studio membership flow.,Medium for trial pricing; low for monthly fee until studio quote is captured,2026-07-29,Use trial offer as boutique evidence; leave monthly fee blank unless verified by studio.
8,Movati Athletic,Regular fee not published clearly; partial student/fee info published,Club-specific / membership-flow required,Bi-weekly discount evidence only,,,,,,,,,,https://movatiathletic.com/joinnow/,https://movatiathletic.com/students/,Official join page requires selecting preferred club; student page shows $10 off the no-commit bi-weekly membership rate and $29.95 facility enhancement fee.,"Premium full-service club; equipment, studios/classes, women-only area, pool/spa/recovery amenities vary by club.",Medium for availability/discount evidence; regular monthly/bi-weekly fee needs club selection,2026-07-29,Mark as premium club with fee unavailable until local club page/quote is captured.
9,LA Fitness,Published on official club-specific membership rate pages,Club-specific,Monthly,39.99,49.99,,,,,0,79,,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=yxnj7Nqsc0Rq%2BVMCpBZHjg%3D%3D,https://www.lafitness.com/pages/clubhome.aspx?clubid=1103,"Official Aurora-Bayview rate page shows Basic at $39.99/month and other options up to $49.99/month, plus $79 annual fee and first/last month dues.","Full-service club amenities can include equipment, group fitness, turf, courts, pool/whirlpool, locker room/sauna and fitness assessment depending on club.",High for selected club; verify exact proposed club,2026-07-29,Use as full-service monthly benchmark.
10,World Gym,No clear official Ontario recurring fee found,Club-specific / missing public price,Not available,,,,,,,,,,https://www.worldgym.com/locations/ontario,https://www.worldgym.com/guelph/,"Official Ontario location and Guelph pages confirm locations/free trial messaging, but no clear public recurring monthly or bi-weekly fee was found on the official website pages checked.",Strength/full-service gym model; amenities vary by independently operated club.,Low for fee; medium for source/location,2026-07-29,Leave fee blank and flag as manual verification required.
